score_input,percentile_output
900,1
905,1
910,1
915,1
920,1
925,1
930,1
935,1
940,1
945,1
950,1
955,1
960,1
965,1
970,1
975,1
980,1
985,1
990,1
995,1
1000,1
1005,1
1010,1
1015,1
1020,1
1025,1
1030,1
1035,1
1040,1
1045,1
1050,1
1055,1
1060,1
1065,1
1070,1
1075,1
1080,1
1085,1
1090,1
1095,1
1100,1
1105,1
1110,1
1115,1
1120,1
1125,1
1130,1
1135,1
1140,1
1145,1
1150,1
1155,1
1160,1
1165,1
1170,1
1175,1
1180,1
1185,1
1190,1
1195,1
1200,1
1205,1
1210,1
1215,1
1220,1
1225,1
1230,1
1235,1
1240,1
1245,1
1250,1
1255,1
1260,1
1265,1
1270,1
1275,1
1280,1
1285,1
1290,1
1295,1
1300,1
1305,1
1310,1
1315,1
1320,1
1325,1
1330,1
1335,1
1340,1
1345,1
1350,1
1355,1
1360,1
1365,1
1370,1
1375,1
1380,1
1385,1
1390,1
1395,1
1400,1
1405,1
1410,1
1415,1
1420,1
1425,1
1430,1
1435,2
1440,2
1445,2
1450,2
1455,2
1460,2
1465,2
1470,2
1475,3
1480,3
1485,3
1490,3
1495,4
1500,4
1505,4
1510,4
1515,4
1520,4
1525,5
1530,5
1535,5
1540,5
1545,6
1550,6
1555,7
1560,7
1565,7
1570,7
1575,8
1580,8
1585,9
1590,9
1595,9
1600,9
1605,10
1610,10
1615,11
1620,11
1625,12
1630,12
1635,13
1640,13
1645,14
1650,14
1655,15
1660,15
1665,16
1670,16
1675,17
1680,17
1685,18
1690,18
1695,19
1700,19
1705,21
1710,21
1715,22
1720,22
1725,23
1730,23
1735,24
1740,24
1745,26
1750,26
1755,27
1760,27
1765,29
1770,29
1775,30
1780,30
1785,31
1790,31
1795,32
1800,32
1805,34
1810,34
1815,35
1820,35
1825,37
1830,37
1835,38
1840,38
1845,40
1850,40
1855,41
1860,41
1865,42
1870,42
1875,44
1880,44
1885,45
1890,45
1895,47
1900,47
1905,48
1910,48
1915,50
1920,50
1925,51
1930,51
1935,52
1940,52
1945,54
1950,54
1955,55
1960,55
1965,56
1970,56
1975,58
1980,58
1985,59
1990,59
1995,60
2000,60
2005,61
2010,61
2015,63
2020,63
2025,64
2030,64
2035,65
2040,65
2045,66
2050,66
2055,67
2060,67
2065,68
2070,68
2075,69
2080,69
2085,70
2090,70
2095,72
2100,72
2105,73
2110,73
2115,74
2120,74
2125,75
2130,75
2135,76
2140,76
2145,77
2150,77
2155,78
2160,78
2165,79
2170,79
2175,79
2180,79
2185,80
2190,80
2195,81
2200,81
2205,82
2210,82
2215,83
2220,83
2225,84
2230,84
2235,85
2240,85
2245,85
2250,85
2255,86
2260,86
2265,87
2270,87
2275,88
2280,88
2285,89
2290,89
2295,89
2300,89
2305,90
2310,90
2315,91
2320,91
2325,91
2330,91
2335,92
2340,92
2345,92
2350,92
2355,93
2360,93
2365,94
2370,94
2375,94
2380,94
2385,95
2390,95
2395,95
2400,95
2405,96
2410,96
2415,96
2420,96
2425,96
2430,96
2435,97
2440,97
2445,97
2450,97
2455,97
2460,97
2465,98
2470,98
2475,98
2480,98
2485,98
2490,98
2495,98
2500,98
2505,98
2510,98
2515,99
2520,99
2525,99
2530,99
2535,99
2540,99
2545,99
2550,99
2555,99
2560,99
2565,99
2570,99
2575,99
2580,99
2585,99
2590,99
2595,99
2600,99
2605,99
2610,99
2615,99
2620,99
2625,99
2630,99
2635,99
2640,99
2645,99
2650,99
2655,99
2660,99
2665,99
2670,99
2675,99
2680,99
2685,99
2690,99
2695,99
2700,99
